#     Time(s)        He4(msun)       Tmax(K)        TotalKE(erg)    RotKE(erg)   NonRotKE(erg) 
     0.00000000e+00 3.20824770e-02 6.34649856e+08 3.93194182e+49 3.83009739e+49 1.01844426e+48     
     1.01997084e-01 3.20817043e-02 5.59750464e+08 3.93029803e+49 3.82835206e+49 1.01945963e+48     
     2.02254392e-01 3.20814976e-02 5.73435840e+08 3.93058469e+49 3.82861950e+49 1.01965193e+48     
     3.00695009e-01 3.20813169e-02 5.99162496e+08 3.93200896e+49 3.82963868e+49 1.02370279e+48     
     4.00586425e-01 3.20811830e-02 5.78559232e+08 3.93413047e+49 3.83097528e+49 1.03155186e+48     
     5.02952216e-01 3.20811044e-02 5.68889408e+08 3.93679488e+49 3.83263847e+49 1.04156403e+48     
     6.02569325e-01 3.20807985e-02 5.22031392e+08 3.93975985e+49 3.83429438e+49 1.05465475e+48     
     7.02297771e-01 3.20801891e-02 5.48076288e+08 3.94304170e+49 3.83601509e+49 1.07026605e+48     
     8.03249636e-01 3.20795814e-02 5.07940928e+08 3.94670122e+49 3.83780175e+49 1.08899466e+48     
     9.02921724e-01 3.20790649e-02 4.88555360e+08 3.95063434e+49 3.83960440e+49 1.11029941e+48     
     1.00342311e+00 3.20783521e-02 4.76457824e+08 3.95474953e+49 3.84143520e+49 1.13314336e+48     
     1.10014708e+00 3.20777142e-02 4.60324416e+08 3.95875545e+49 3.84319669e+49 1.15558758e+48     
     1.20182421e+00 3.20771040e-02 4.55265984e+08 3.96290460e+49 3.84507920e+49 1.17825403e+48     
     1.30160077e+00 3.20766125e-02 4.58133728e+08 3.96683927e+49 3.84694770e+49 1.19891563e+48     
     1.40386276e+00 3.20763288e-02 4.55444352e+08 3.97051117e+49 3.84884886e+49 1.21662310e+48     
     1.50304484e+00 3.20762450e-02 4.73476960e+08 3.97375085e+49 3.85066293e+49 1.23087916e+48     
     1.60292165e+00 3.20761390e-02 4.71808288e+08 3.97672335e+49 3.85247417e+49 1.24249177e+48     
     1.70344993e+00 3.20761602e-02 4.77170176e+08 3.97938470e+49 3.85433164e+49 1.25053068e+48     
     1.80064004e+00 3.20760632e-02 4.84035232e+08 3.98151182e+49 3.85615292e+49 1.25358896e+48     
     1.90108497e+00 3.20759435e-02 4.90077888e+08 3.98323984e+49 3.85801034e+49 1.25229495e+48     
     2.00302880e+00 3.20757545e-02 4.87978336e+08 3.98451483e+49 3.85983070e+49 1.24684135e+48     
     2.10265437e+00 3.20755850e-02 4.92018848e+08 3.98528056e+49 3.86150392e+49 1.23776645e+48     
     2.20280740e+00 3.20754087e-02 5.09407424e+08 3.98559866e+49 3.86306694e+49 1.22531728e+48     
     2.30033880e+00 3.20751584e-02 5.10618176e+08 3.98551956e+49 3.86445381e+49 1.21065751e+48     
     2.40247968e+00 3.20747059e-02 5.22617632e+08 3.98509792e+49 3.86575595e+49 1.19341963e+48     
     2.50365672e+00 3.20741722e-02 5.42478848e+08 3.98441758e+49 3.86690337e+49 1.17514202e+48     
     2.60359033e+00 3.20734946e-02 5.74561216e+08 3.98359965e+49 3.86791441e+49 1.15685236e+48     
     2.70232828e+00 3.20725837e-02 5.94478912e+08 3.98277929e+49 3.86882790e+49 1.13951393e+48     
     2.80102655e+00 3.20714856e-02 5.88714624e+08 3.98207447e+49 3.86969901e+49 1.12375458e+48     
